Well,Omit,Sample,Target,Dye,Task,Cq,Quantity
F11,false,chinookDUDA,chi1269,SYBR,Unknown,34.83273127744856,41.992725023902054
F12,false,chinookDUDA,chi1269,SYBR,Unknown,33.62618676310714,95.25034419853921
F13,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
F14,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
F15,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
F16,false,chinookDUDA,chi1269,SYBR,Unknown,31.665336540503553,360.5208245536858
F17,false,chinookDUDA,chi1269,SYBR,Unknown,31.27295682977831,470.54907737733413
F18,false,chinookDUDA,chi1269,SYBR,Unknown,31.68652958642295,355.37149557488874
F19,false,chinookDUDA,chi1269,SYBR,Unknown,36.68271444066896,11.961734448643126
F20,false,chinookDUDA,chi1269,SYBR,Unknown,33.36398881445443,113.80548618878369
F21,false,chinookDUDA,chi1269,SYBR,Unknown,35.30637546349054,30.446859740074373
F22,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
F23,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
F24,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G1,false,chinookDUDA,chi1269,SYBR,Standard,Undetermined,10
G2,false,chinookDUDA,chi1269,SYBR,Standard,Undetermined,10
G3,false,chinookDUDA,chi1269,SYBR,Standard,Undetermined,10
G4,false,chinookDUDA,chi1269,SYBR,Standard,Undetermined,10
G5,false,chinookDUDA,chi1269,SYBR,Standard,Undetermined,10
G6,false,chinookDUDA,chi1269,SYBR,Negative Control,Undetermined,
G7,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G8,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G9,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G10,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G11,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G12,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G13,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G14,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G15,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G16,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G17,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G18,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G19,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G20,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G21,false,chinookDUDA,chi1269,SYBR,Unknown,Undetermined,
G22,false,chinookDUDA,chi1269,SYBR,Unknown,33.91825175795266,78.12050196969012
G23,false,chinookDUDA,chi1269,SYBR,Unknown,33.18447239781521,128.55385666142712
